Plot,Region,LU,Classif,Classif2,Production_food,Production_livestock,Production_energy,Production_timber,Harvesting_plants,C_stock,Hunting,Aesthetic_naturalness,Aesth_diversity_ADI,Reg_ID_habitat,Aesth_uniqueness_charismatic_plants,Plant_richness,Bird_richness,Fungi_richness
AEG13,All,Grassland,Grassland_high,Grassland_high,0,1239.8375,0,0,13.4164078649987,5.11632849695,0,0.859120911659911,0.909978814942999,0,10.7051389528581,32,2,0
AEG14,All,Grassland,Grassland_high,Grassland_high,0,1142.625,0,0,13.780420893427,4.1112124366,0,0.964299074709299,0.407655270074248,0,15.2446712001276,33,1,0
AEG15,All,Grassland,Grassland_high,Grassland_high,0,1358.56875,0,0,10.770329614269,4.192497487,0,0.91057993700532,0.269514887042443,0,11.5585466214399,42,3,0
AEG16,All,Grassland,Grassland_medium,Grassland_medium,0,814.786908296943,0,0,16.1493033905491,4.2426855169,0,1.24667073467973,0.252732106752806,0,14.8492424049175,46,2,0
AEG17,All,Grassland,Grassland_high,Grassland_high,0,550.61875,0,0,13.3379158791769,4.75907067375,0,1.41090217774871,0.369299477288164,0,16.0281003241183,52,2,0
AEG18,All,Grassland,Grassland_high,Grassland_high,0,1293.53125,0,0,12.4779806058513,4.147377398,0,1.22756853872104,0.250989821468673,0,11.4367827643966,39,2,0
AEG19,All,Grassland,Grassland_high,Grassland_high,0,377.648223229794,0,0,9,5.29705291635,0,0.855718825157072,0.300091464181451,0,5.84807660688538,33,3,0
AEG20,All,Grassland,Grassland_medium,Grassland_medium,0,300.99141780822,0,0,13.1034346642398,4.71785732465,0,0.93751846763044,0.425347166180103,0,11.3754120804479,37,0,0
AEG21,All,Grassland,Grassland_high,Grassland_high,0,1455.71392195466,0,0,13.8311243216161,5.5657205652,0,1.31455575726286,0.717927660229059,0,15.9937487788198,39,2,0
AEG22,All,Grassland,Grassland_low,Grassland_low,0,268.953181818181,0,0,6.34822809924155,4.12981581355,0,1.19142075852771,0.269514887042443,0,9.70566844684074,64,4,0
AEG23,All,Grassland,Grassland_low,Grassland_low,0,705.672,0,0,8.62554346113913,5.41088407465,0,1.23430889527165,0.300651220525488,0,13.1605471010897,44,3,1
AEG24,All,Grassland,Grassland_high,Grassland_high,0,1548.77079804946,0,0,16.4073154415949,5.11042824005,0,0.961411062644942,0.393873599945462,0,15.2216950435883,37,5,0
AEG25,All,Grassland,Grassland_low,Grassland_low,0,100.435784224841,0,0,14.2337626789265,4.3919135063,0,1.55699763467035,0.622025393882105,1,14.4982757595515,72,8,1
AEG26,All,Grassland,Grassland_medium,Grassland_medium,0,500.3922,0,0,10.8397416943394,3.48282678275,0,2.25914269374677,0.405323849723657,1,11.5931013969516,64,12,0
AEG27,All,Grassland,Grassland_low,Grassland_low,0,249.954542986425,0,0,11.3092882180975,3.85079708115,0,2.14955349504621,0.300651220525488,1,12.3531372533458,67,6,0
AEG28,All,Grassland,Grassland_low,Grassland_low,0,188.241992031873,0,0,13.2022725316515,4.0068370763,0,2.08800277920377,0.404176069990269,0,16.5801085641802,74,8,0
AEG29,All,Grassland,Grassland_high,Grassland_high,0,400.564104158595,0,0,8.02496105909555,4.40123017615,0,1.61666293100505,0.476143167330817,0,13.6674796506159,62,3,0
AEG30,All,Grassland,Grassland_medium,Grassland_medium,0,583.563810218979,0,0,8.94986033410578,4.74911235735,0,1.8086248673265,0.424101860543454,0,12.771061036578,52,3,0
AEG31,All,Grassland,Grassland_low,Grassland_low,0,372.109223889761,0,0,10.4880884817015,4.82411751645,0,1.31114017263759,0.302506093538688,0,12.136721138759,56,4,0
AEG32,All,Grassland,Grassland_low,Grassland_low,0,113.861694174757,0,0,3.96232255123179,3.25373103005,0,1.95939710944025,0.717927660229059,0,7.07813534767456,51,5,0
AEG33,All,Grassland,Grassland_low,Grassland_low,0,310.116752910737,0,0,11.6876002669496,3.81929218735,0,1.98470672727003,0.429791596676398,0,11.1624370099007,60,6,0
AEG34,All,Grassland,Grassland_low,Grassland_low,0,336.03,0,0,9.555103348473,3.94706453415,0,2.16070534335176,0.878651647133435,0,20.2237484161567,52,1,0
AEG35,All,Grassland,Grassland_medium,Grassland_medium,0,917.46875,0,0,8.60813568666294,3.59309863915,0,0.285870583851125,0.269514887042443,0,8.98331787259028,35,1,0
AEG36,All,Grassland,Grassland_medium,Grassland_medium,0,907.602001037345,0,0,9.18694726228468,4.1250249834,0,0.69860917547493,0.142426506354511,0,7.77817459305202,34,2,0
AEG37,All,Grassland,Grassland_medium,Grassland_medium,0,1278.41252671756,0,0,16.6913151069651,5.19627412125,0,1.10824420186376,0.420550149562093,0,10.3682206766639,41,3,1
AEG38,All,Grassland,Grassland_low,Grassland_low,0,660.4125,0,0,5.80517010948,3.90309604885,0,1.13145713583316,0.324817140354817,0,14.1209064864831,42,1,0
AEG39,All,Grassland,Grassland_medium,Grassland_medium,0,1307.28125,0,0,16.5257375024536,5.34,0,0.979914210994924,0.302506093538688,0,8.16088230524127,30,2,0
AEG40,All,Grassland,Grassland_high,Grassland_high,0,759.154,0,0,17.4785582929485,4.17061087355,0,1.60618756876057,0.201906734262883,0,17.20755647964,50,6,0
AEG41,All,Grassland,Grassland_high,Grassland_high,0,930.87775,0,0,16.0312195418814,3.38732460465,0,1.05370862954549,0.451348821487387,0,15.7892368403289,40,1,0
AEG42,All,Grassland,Grassland_high,Grassland_high,0,741.801023622047,0,0,15.7829021412413,5.27853538315,0,1.07569544653985,0.845398198227236,0,12.9267165204471,33,2,0
