Plot,Sturnus_vulgaris,Ciconia_ciconia,Cuculus_canorus,Turdus_merula,Luscinia_megarhynchos,Passer_domesticus,Erithacus_rubecula,Buteo_buteo,Corvus_corax,Garrulus_glandarius,Milvus_milvus,Dendrocopos_major,Alauda_arvensis,Cyanistes_caeruleus,Falco_tinnunculus,Strix_aluco,Apus_apus,Troglodytes_troglodytes,Hirundo_rustica,Parus_major,Pica_pica,Fringilla_coelebs,Grus_grus,Delichon_urbicum,Picus_viridis
AEG14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AEG15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEG16,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0
AEG17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEG18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEG19,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
AEG20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AEG21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AEG22,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AEG23,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0
AEG24,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
AEG25,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
AEG26,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
AEG27,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AEG28,0,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0
AEG29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
AEG30,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AEG31,0,0,0,0,0,0,0,1,0,0,1,0,15,0,0,0,0,0,0,0,2,0,0,0,0
AEG32,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AEG33,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
