Plot,Exploratory,LU,Core_depth,pH,elevation,Cstock0.10,TWI,prop_clay,Mean_Temp,Mean_precip
HEG45,H,G,52,6.45,381.27,3.54521422399999,6.40357,0.490528414755733,8.79069,593.1099925
HEG46,H,G,38,6.51,275.88,2.51079936299999,5.32916,0.395,8.83308142857143,542.898735
HEG47,H,G,48,6.71,330.56,4.42854629199999,7.25918,0.483,7.7522,617.701225
HEG48,H,G,43,6.19,323.77,3.726275891,6.98112,0.463609172482552,8.66918,604.48624875
HEG49,H,G,47,6.21,309.5,3.49908344599999,7.34507,0.430139720558882,8.55612,612.48000625
HEG50,H,G,42,5.88,303.41,4.13451612149999,6.26215,0.643426294820717,8.58494,600.3599825
HEW01,H,W,69,6.52,427.18,4.69228721,5.88044,0.194223107569721,7.5191675,657.91500875
HEW02,H,W,66,4.87,365.9,4.76534569416667,9.18166,0.308,7.28683666666667,602.6325275
HEW03,H,W,39,4.26,410.01,4.02602198399999,7.15811,0.408591408591409,9.38398833333333,636.84249875
HEW04,H,W,38,6.05,491.35,4.152228147,8.17686,0.385458167330677,7.7185325,636.55251625
HEW05,H,W,52,3.72,415.78,3.224778063,6.90402,0.458167330677291,7.76047,674.94623625
HEW06,H,W,43,4.14,434.74,2.83095189299999,6.8678,0.217782217782218,7.31864333333333,669.5749775
HEW07,H,W,35,4.11,379.35,1.74135993233333,7.60194,0.197197197197197,7.729145,635.753755
HEW08,H,W,52,6.02,502.81,3.145304123,8.33761,0.226773226773227,6.9983525,618.55875375
HEW09,H,W,52,3.88,401.81,2.738210587,7.87553,0.286713286713287,7.92178,635.753755
HEW10,H,W,49,5.61,378.05,5.15077840649999,10.1873,0.445663010967099,8.466135,631.3650125
HEW11,H,W,45,5.52,414.16,4.277608322,7.72872,0.413586413586414,7.29179333333333,650.990005
HEW12,H,W,57,4.42,332.53,3.288423483,7.11748,0.168336673346693,7.450615,626.20125125
HEW13,H,W,32,3.09,420.3,2.95489909899999,7.58231,0.508982035928144,7.69316666666667,654.54749125
HEW14,H,W,69,5.17,473.45,3.34100335049999,6.81668,0.448448448448448,7.37163333333333,611.577495
