Plot,Exploratory,LU,Core_depth,pH,elevation,Cstock0.10,TWI,prop_clay,Mean_Temp,Mean_precip
SEG29,S,G,102,7.42,19.4,3.538969988,10.8361,0.195195195195195,8.90218333333333,512.49373375
SEG30,S,G,107,6.22,67.47,2.54462150799999,12.8008,0.146,8.82655333333333,555.05625125
SEG31,S,G,92,6.17,63.35,7.18983270199999,7.42466,0.182,9.190092,555.05625125
SEG32,S,G,103,6.19,59.18,3.050635731,7.66063,0.19,9.12576,555.05625125
SEG33,S,G,92,4.74,75.13,1.859396781,6.11094,0.118,9.29686,616.60501
SEG34,S,G,97,4.73,86.08,2.174072162,6.38947,0.138,9.135876,616.60501
SEG35,S,G,109,6.13,89.17,2.732191935,6.32009,0.2,9.82552,616.60501
SEG36,S,G,93,4.71,64.07,2.603775137,7.92319,0.139,8.987314,617.81874875
SEG37,S,G,96,4.28,51.13,2.166062843,6.63369,0.093,9.17428166666667,550.16249125
SEG38,S,G,71,5.7,69.18,3.538969988,6.37265,0.0890890890890891,9.02155,628.772862857143
SEG39,S,G,107,7.03,70.47,2.94760463399999,7.88013,0.225,9.12498,616.60249
SEG40,S,G,88,5.68,60.15,2.28623444599999,7.90814,0.098,9.69526666666667,571.9999875
SEG41,S,G,92,4.95,40.02,2.214513428,8.73861,0.136,9.401718,561.59498625
SEG42,S,G,81,6.08,69.78,2.37144330599999,8.04424,0.117,9.9336625,619.9499975
SEG43,S,G,108,5.5,66.88,3.58340387,6.94663,0.131,9.383194,619.9499975
SEG44,S,G,105,5.24,59.73,2.820502918,6.9978,0.113,9.25932,623.0075
SEG45,S,G,110,5.22,58.65,1.867326965,7.40699,0.1,9.33099333333333,623.0075
SEG46,S,G,99,6.96,72.82,4.31900546999999,8.0278,0.146,7.99438,630.0025025
SEG47,S,G,102,4.79,84.07,2.72749637399999,6.44781,0.186,8.95883333333333,617.81874875
SEG48,S,G,99,5.48,57.88,2.54462150799999,8.81498,0.13,9.1900875,587.52858
SEG49,S,G,77,5.56,80.54,2.837316039,7.22633,0.106,9.71579,624.0499925
SEG50,S,G,80,5.2,75.6,2.71365519999999,6.39348,0.092,9.54105,480.49627
SEW01,S,W,86,3.47,54.13,2.0882495,9.2401,0.037,8.934705,663.84499
SEW02,S,W,116,3.5,74.93,2.034962384,9.05661,0.032,8.10762,629.2675025
SEW03,S,W,86,3.41,66.17,1.513603241,6.75401,0.024,8.96561333333333,562.0943
SEW04,S,W,90,3.33,56.01,1.35686362,8.84416,0.027,9.41577,652.3487825
SEW05,S,W,90,3.44,64.13,3.895857349,7.8016,0.019,9.15219,522.88500125
SEW06,S,W,88,3.82,54.94,2.95872839,9.08692,0.049,8.08971666666667,681.2062725
SEW07,S,W,82,3.68,78.51,2.311993778,6.12952,0.016,8.32674,630.080008571429
SEW08,S,W,90,3.33,97.59,3.663929376,6.03638,0.047,7.98456,533.79373625
SEW09,S,W,90,3.12,78.96,4.286245666,6.9935,0,7.13836,658.19751125
SEW10,S,W,82,4.05,64.54,1.929007083,7.18012,0.036,8.55908,664.489995714286
SEW11,S,W,88,3.43,64.92,3.138812482,9.05661,0.031,9.30635,637.658557142857
SEW12,S,W,96,3.27,71.55,2.31614542249999,7.33677,0.018,7.778035,631.972865714286
SEW13,S,W,95,3.2,67.22,2.57707721799999,6.01636,0.028,7.13836,578.83499125
SEW14,S,W,87,3.27,70.44,1.218532522,7.98941,0.008,8.869896,602.66715
SEW15,S,W,93,3.16,65,1.184203897,10.1266,0.031,8.19588,674.727138571429
SEW16,S,W,82,3.63,69.98,0.757542869,8.62878,0.03,8.774698,566.644985
SEW17,S,W,94,2.96,64.25,3.01715603016665,7.77312,0.024,8.32674,672.33375875
SEW18,S,W,90,2.75,48.26,3.640121256,8.67971,0.0288844621513944,7.13836,610.49125
SEW19,S,W,98,3.59,63.83,1.6187793275,7.05831,0.037,8.6384,625.75857
SEW20,S,W,82,3.26,65.11,1.593167708,8.26983,0.0418326693227092,8.31298,637.658557142857
SEW21,S,W,90,3.47,66.34,1.649091232,8.62255,0.055,9.09359,674.727138571429
SEW22,S,W,86,3.6,57.13,2.366594289,5.78274,0.034,8.59764,513.15751125
SEW23,S,W,87,3.36,74.36,2.240034778,7.51208,0.051,8.22369,629.2675025
SEW24,S,W,82,3.76,65.09,1.97125779966666,5.77074,0.046,8.63524,602.77373875
SEW25,S,W,89,4.47,72.99,1.318596787,8.36345,0.063,9.68245,602.66715
SEW26,S,W,78,3.55,67.26,2.39581460149999,9.34428,0.051792828685259,9.16177,674.727138571429
SEW27,S,W,92,3.69,83.28,1.52336260699999,7.88231,0.051,9.17779,612.03250375
SEW28,S,W,89,3.62,62.43,2.89451501299999,8.71002,0.051,9.16177,647.902848571429
SEW29,S,W,95,3.18,64.78,1.351971976,6.637,0.03,8.08874,578.83499125
SEW30,S,W,85,3.42,58.15,5.41374588049999,6.08242,0.05,8.74074,518.69250125
SEW31,S,W,84,3.3,66.61,4.09701282199999,8.75043,0.051,9.30635,633.94124875
SEW32,S,W,88,3.18,62.38,1.9343454155,7.01001,0.051,7.313875,518.69250125
SEW33,S,W,90,3.24,45.51,3.315906619,8.05905,0.025,9.1414,663.545005
SEW34,S,W,86,3.35,48.97,1.996666347,7.8117,0.042,8.59859,663.84499
SEW35,S,W,86,3.53,64.51,2.20097329666667,8.5172,0.065,9.47633,656.58874875
SEW36,S,W,92,2.7,101.93,2.37701736999999,7.78963,0.064,8.64770333333333,682.80625875
SEW37,S,W,92,3.7,61.8,2.64558215299999,8.76742,0.0627490039840637,9.158865,661.61874625
SEW38,S,W,95,3.27,66.72,1.929995095,8.35887,0.057,7.21784,647.902848571429
SEW39,S,W,89,3.4,73.8,2.32234412499999,7.19748,0.052,4.99553,662.09876625
SEW40,S,W,84,3.55,68.19,2.18185059999999,10.1439,0.063,8.55908,655.302505
SEW41,S,W,93,3.52,49.77,2.61105476799999,8.51719,0.049800796812749,8.31213,635.8925025
SEW42,S,W,87,3.46,70.38,1.418686078,6.20606,0.074,8.31213,647.59748375
SEW43,S,W,81,3.38,71.66,2.85987416399999,7.94508,0.069,9.1414,643.1900125
SEW44,S,W,82,3.36,62.24,2.80630351066666,7.74768,0.075,7.84387333333333,666.097465
SEW45,S,W,92,3.63,75.15,1.920335044,7.42868,0.0478087649402391,7.77303,608.79747875
SEW46,S,W,94,3.44,80.04,2.02719885099999,8.09641,0.063,8.21961,559.9624875
SEW47,S,W,92,3.09,76.02,4.17608168549999,6.66827,0.049,8.02426,559.9624875
SEW48,S,W,84,3.32,74.56,2.82071207099999,8.18585,0.085,7.21784,592.756255
SEW49,S,W,76,3.68,65.48,1.572143706,7.13649,0.068,8.77678,646.75372625
SEW50,S,W,97,3.52,77.78,2.82276352199999,5.91662,0.079,9.30635,679.59497375
