Plot,Region,LU,Core_depth,pH,elevation,TWI,prop_clay,Mean_Temp,Mean_precip,LUI_2007to12
AEW17,A,Forest,41,6.44,817.31,8.54025,0.428,6.71716,934.806028,0
AEW18,A,Forest,60,4.62,758.84,7.91684,0.312375249500998,6.89277333333333,911.055982,0
AEW19,A,Forest,49,4.795,755.44,5.34152,0.470059880239521,7.79920666666667,981.192052,0
AEW20,A,Forest,89,6.64,765.78,7.53199,0.437,6.60778,892.477954,0
AEW21,A,Forest,59,6.11,757.5,6.48637,0.517964071856287,7.44842666666667,932.667956,0
AEW22,A,Forest,38,6.25,813,9.06748,0.542,7.13082,928.758018,0
AEW23,A,Forest,23,5.475,777.64,6.31023,0.4995004995005,7.14959333333333,914.924012,0
AEW24,A,Forest,56,4.88,759.83,5.05152,0.51,7.53184666666667,970.910022,0
AEW25,A,Forest,42,4.7,712.64,8.77138,0.383,7.58925666666667,977.094006,0
AEW26,A,Forest,53,4.85,751.12,6.86974,0.484848484848485,6.86286666666667,970.17799,0
AEW27,A,Forest,23,4.49,783.41,6.78143,0.518,6.83451,929.55598,0
AEW28,A,Forest,34,4.9,754.87,6.26622,0.474,7.43095666666667,955.135986,0
AEW29,A,Forest,18,4.485,760.05,8.45588,0.413,6.95811,883.380008,0
AEW30,A,Forest,28,5.935,735.22,5.93224,0.7,6.29279333333333,864.257984,0
AEW31,A,Forest,20,5.805,738.35,6.84057,0.548,6.78132333333333,930.490026,0
AEW32,A,Forest,21,6.575,708.15,5.85364,0.395,7.04042333333333,911.794004,0
AEW33,A,Forest,27,5.325,771.68,6.55966,0.681,6.28763333333333,939.253992,0
AEW34,A,Forest,14,4.93,773.19,5.91342,0.624750499001996,6.5989,939.253992,0
AEW35,A,Forest,17,5.105,764.47,5.20054,0.587,7.62968333333333,947.276026,0
AEW36,A,Forest,10,5.845,780.28,7.6201,0.407,6.62951666666667,961.049998,0
AEW37,A,Forest,17,5.4,733.47,6.55728,0.553,7.03608,916.137954,0
AEW38,A,Forest,17,6.165,765.87,5.87868,0.502,7.36772333333333,917.156004,0
AEW39,A,Forest,10,5.745,791.39,6.62752,0.432,7.30313333333333,973.212036,0
AEW40,A,Forest,26,5.01,779.15,6.38664,0.609390609390609,7.79938,1001.042018,0
AEW41,A,Forest,76,5.12,737.17,6.0823,0.475,6.67628333333333,892.840028,0
AEW42,A,Forest,74,5.88,776.25,6.02524,0.504,7.33061333333333,898.119996,0
AEW43,A,Forest,19,4.795,738.48,5.57902,0.385229540918164,6.90725333333333,943.650034,0
AEW44,A,Forest,10,5.885,799.51,6.59916,0.429,7.04622666666667,922.876012,0
AEW45,A,Forest,62,5.705,787.09,6.10245,0.22,7.2428,906.038024,0
AEW46,A,Forest,36,5.065,757,5.71021,0.547094188376754,6.85381,883.380008,0
AEW47,A,Forest,29,5.07,765.98,7.13547,0.531,6.98393,945.340014,0
AEW48,A,Forest,17,5.4,792.11,5.63072,0.464,7.15838333333333,921.205956,0
AEW49,A,Forest,13,5.855,763.56,5.15852,0.645,7.44233666666667,988.650036,0
AEW50,A,Forest,11,5.865,782.57,5.34726,0.543,7.3803,939.099988,0
C1,A,Crop,31.290187481037,5.7539358587361,744.812387304713,6.68796651517629,0.480606445997634,7.23063684375533,947.998010692747,0
C10,A,Crop,34.4961118492846,5.55462794417147,730.091907629612,6.51676165927005,0.523361818707559,6.99868580750607,936.351396239521,0
C100,A,Crop,30.0169117920934,5.84998079886031,732.087084079285,6.68645481882255,0.523482236294793,7.17733028279444,939.893510663225,0
C101,A,Crop,33.2622669405036,5.65152987418414,751.129787918232,6.57380044646087,0.525107613326921,7.27624337344854,935.47967559722,0
C102,A,Crop,33.6140973051316,5.97853473661788,748.655351615036,6.62116483910748,0.510193794296876,7.17867562231186,941.127433733953,0
C103,A,Crop,36.7641823734965,5.92697541538044,740.619728277979,6.15739736104772,0.538122392067601,7.16300256129154,943.330663973614,0
C104,A,Crop,34.7381641572307,5.76420721485459,736.081378964051,6.82755709189899,0.533487543471973,7.25540953106918,938.765821280972,0
C105,A,Crop,32.0685960531619,5.82932021426346,747.682868753116,7.09006844596882,0.514735756362905,7.29344529224465,942.759661736214,0
C106,A,Crop,35.8265325840698,5.81300198512582,760.614397536294,6.8494309780729,0.568309783509923,7.10478673673545,935.906246372972,0
C107,A,Crop,31.6652544278423,5.75508808503323,741.162739714185,7.19115053889471,0.53930011735635,7.06060646626818,925.757014456424,0
C108,A,Crop,34.4011792447956,6.03193113174736,743.000707707144,6.78447343560417,0.503679273768604,7.17939083316823,929.19756299879,0
C109,A,Crop,29.5793557856361,5.4264040442581,745.313038319302,6.86438188121573,0.502263206116358,7.27917320682828,952.325452872355,0
C11,A,Crop,37.6903413896937,5.87857748914432,742.11936123797,6.82680823475719,0.552463651087248,7.16196450008517,948.939446315268,0
C110,A,Crop,27.1271009045079,5.78779751759776,757.575044010796,6.60695303956548,0.497307573877743,7.27119612749242,928.131901726753,0
C111,A,Crop,31.6162658626124,5.99244629845041,762.28482345495,6.46567369494776,0.519818363592232,7.09810170906658,945.670438058611,0
C112,A,Crop,31.7744472847771,5.89620836112801,746.943938850439,7.05311661216933,0.515034732979225,7.11346638358915,944.588778610447,0
C113,A,Crop,29.3789703376478,5.83723577413172,752.665637022832,6.58435015957457,0.509929171632976,6.98225777918487,937.49169916511,0
C114,A,Crop,32.6933594959226,5.76768940490935,739.676225908375,6.57424429583524,0.543211619131206,7.32661828208036,934.303739981169,0
C115,A,Crop,29.4960566252314,5.85509675887703,732.246211085953,7.14506716451621,0.529547368333961,7.09905073981873,932.445915917126,0
C116,A,Crop,24.9977641836361,5.98937720439246,739.984611094582,6.54063129888553,0.514389737596582,7.09398397265262,943.584926827444,0
C117,A,Crop,31.8824026541316,5.98751125546877,739.573953395311,6.85661307791942,0.541070542168847,7.13185028738633,923.97883833121,0
C118,A,Crop,35.0656261308503,5.82476450110176,740.534597481125,6.8639057015497,0.522456068259244,7.25075566325274,945.309802430336,0
C119,A,Crop,31.5020523838254,5.7610448242634,752.014260116269,7.16671684712221,0.52243288206978,7.14556593721493,934.337535318865,0
C12,A,Crop,27.1376764032652,5.91075190449984,760.876528122763,6.58203174710638,0.514494022407611,7.16173052175657,947.049264592948,0
C120,A,Crop,35.1966868966767,5.69672261408438,742.048613868346,6.79829873062923,0.521052041023236,7.24583696478596,950.88317452811,0
C121,A,Crop,27.3330304343239,5.71428472990823,747.171560522255,6.66320868669747,0.526356339870211,7.13076046532827,934.862742093511,0
C122,A,Crop,34.184480636387,5.98013576951122,746.556724794233,6.44990474972671,0.498216245414141,7.24937112729558,944.966687721035,0
C123,A,Crop,32.0445623663958,5.79443418157045,757.797361480753,6.55105812868311,0.524626024880853,7.1606098658921,940.960753839011,0
C124,A,Crop,34.1851059688967,5.87718048634851,741.721950016829,6.56630303773073,0.501029383916979,7.25908533307186,930.744893299573,0
C125,A,Crop,34.2978576568828,5.69616818732109,737.791087655071,6.57695312194488,0.527903378417704,7.08492434913126,937.225843969014,0
C126,A,Crop,35.7459150612421,5.90653312876518,738.699798069773,6.73212619606418,0.533778666258303,7.12064465333593,932.602496389588,0
C127,A,Crop,33.4987158483444,5.91184688108351,753.488375654107,6.74830390239445,0.496758930219163,7.28348692287744,939.598385042945,0
C128,A,Crop,36.1580278344377,5.66683523888052,750.469647569351,6.76650722565902,0.502243463294738,7.35408440856662,948.656179647869,0
C129,A,Crop,24.9145644509634,5.97329202515049,749.605338513354,6.62965376277954,0.534943773232982,7.10778991972652,939.524631262076,0
C13,A,Crop,36.8221595218299,5.87651731167315,753.732717537857,6.89913062392113,0.512235110002806,7.31582682525129,939.468262119643,0
C130,A,Crop,29.8365243814634,5.70442750455033,739.227234633209,7.06981574888067,0.472089143906872,7.3872974556944,942.430575163782,0
C131,A,Crop,33.0930270725445,5.84379161118815,759.827706580572,6.46249524151941,0.469850357843408,7.05239335348413,947.460766652735,0
C132,A,Crop,35.8386004179789,5.69335876668167,741.43749326449,6.81994273818465,0.572775264244338,7.10887504264795,930.018249545623,0
C133,A,Crop,26.3797738291203,5.95348211777058,748.279279421167,6.74439788077466,0.504829778145328,7.16400598961022,936.406221210114,0
C134,A,Crop,34.1166085665789,5.74706021910327,749.261654317671,6.78081922645109,0.529326722707037,7.31463316619155,924.48243879054,0
C135,A,Crop,34.2406481131807,5.87997744820431,751.784713248325,6.73168715407689,0.526349864717684,7.1864838833701,945.324644125457,0
C136,A,Crop,35.2469671235959,5.69115876147301,745.013776103129,7.04848031529237,0.48645699327483,7.14355817358995,932.519633295624,0
C137,A,Crop,24.0160248946094,5.43746978304845,744.550917133736,6.33918869407282,0.505098802929923,7.28216518897551,935.487886134864,0
C138,A,Crop,30.8031185591021,5.8217500144824,748.587331235752,6.72747420709944,0.493675807780095,7.06628665450055,950.843379904398,0
C139,A,Crop,28.4460977728284,5.77176817119802,745.590832497395,6.9321572334214,0.497611967917752,7.18117814945554,929.920742569326,0
C14,A,Crop,33.9504154838164,5.67290521030634,754.648404075617,6.69092293964189,0.520170554439334,7.21409849069268,934.214118179858,0
C140,A,Crop,34.5562273776656,5.54276301380554,760.807356979432,6.72774630557786,0.526034724312573,7.30510887467402,937.440710441479,0
C141,A,Crop,29.9032739177837,5.78462901642674,743.771134702108,6.55444339159302,0.473519340997193,7.17774834855002,936.161613434069,0
C142,A,Crop,31.4213655579362,5.8703157756266,737.590573059631,6.6339971412538,0.530442127022167,7.15578973935877,938.054950614996,0
C143,A,Crop,27.0648493724732,5.64852001099704,749.525564073309,6.8016158790245,0.515223196321568,7.18325274395335,941.083867652684,0
C144,A,Crop,28.2823467511728,5.74167720161148,741.147989204677,6.6204813161692,0.500466195420759,7.23294545837696,944.72823047229,0
C145,A,Crop,31.4783660298044,5.72302617069435,744.202050063771,6.52135430187309,0.522744169654903,7.29495216795676,944.880995497858,0
C146,A,Crop,34.5889475194589,5.91472874545487,733.113961903759,6.40142955757595,0.510333194733153,7.25317015899005,922.037417927434,0
C147,A,Crop,27.382250806213,5.72430762041054,749.661170127592,6.88737611041137,0.495824208673233,7.14421417241406,939.296763361139,0
C148,A,Crop,35.2135536789452,5.58738551888684,734.05029337288,6.87367029940377,0.525653201435196,7.02822073524029,937.412499880795,0
C149,A,Crop,28.6438800313754,5.61216137241754,746.50157084455,6.35187364304982,0.501216677456096,7.18801367839354,932.824244275709,0
C15,A,Crop,33.083528242978,5.76847525379905,750.18461357343,6.73820665541165,0.465460240316685,7.20560894387817,936.950145170475,0
C150,A,Crop,36.6030386006146,5.91619771818378,731.679033674182,6.43479608255889,0.533758584405726,7.0592320475109,945.094464299603,0
C151,A,Crop,36.7632925833801,5.61139902549228,743.571945260203,6.82980132722045,0.474354755574872,7.16389867159564,945.947622328455,0
C152,A,Crop,30.9185887946012,5.75669459488342,748.505276404905,6.89896381494381,0.523022765454583,7.14401933920547,940.427401337666,0
C153,A,Crop,31.5318981483583,5.73474112531427,738.110221275259,6.57171581116361,0.507505874360267,7.28861992033026,932.591729167739,0
C154,A,Crop,27.3301735155112,5.55619550918491,744.137084627989,7.01781818205404,0.534018845130157,7.23653176994645,938.104200512629,0
C155,A,Crop,30.1394790179112,6.03550768277169,747.518928542096,6.7925559684308,0.49098900851225,7.25827901202014,940.567101996153,0
C156,A,Crop,32.8903937937421,5.68676453250158,753.065026962384,6.87469880412256,0.529683639377771,7.31440483309571,938.838439136744,0
C157,A,Crop,34.0222197771845,6.13831065751824,735.456613110871,7.1045757308218,0.547632716705685,7.27514002550739,936.118677144566,0
C158,A,Crop,33.8916869910407,5.91059174980124,737.972436946663,6.68214819961605,0.527566539150991,7.00842619370002,943.802390525392,0
C159,A,Crop,29.9700016326375,5.81386224476823,744.976197005029,6.70761371779115,0.500338738858231,7.21818198251287,955.583909488058,0
C16,A,Crop,33.0233933018845,5.77714550319547,735.93400288705,6.95477361567173,0.513505483635422,7.12273393954553,934.313993281964,0
C160,A,Crop,32.269617437143,5.83053124169223,730.627422786824,6.99883417453115,0.533161639431661,7.21492747734666,958.897984353627,0
C161,A,Crop,32.2069453607636,5.59942256524626,751.674524050954,6.85366249612368,0.571039317995021,7.34899225044957,936.936551826657,0
C162,A,Crop,37.9901037046011,5.90588082547042,753.887383908339,6.7959278347587,0.523006092414489,7.13704750323861,936.521840704305,0
C163,A,Crop,38.3916736563189,5.77714937018044,734.072787750327,6.74317033379662,0.523206003187492,7.20318969694852,935.701896856424,0
C164,A,Crop,36.6882468169564,5.63297466452787,756.969799720299,7.18345110246255,0.550307106696047,7.25042142306016,944.915989995722,0
C165,A,Crop,32.1967994010873,5.8461377289975,764.913248950123,7.13546881359402,0.490307522904647,7.20635892701265,923.934507228422,0
C166,A,Crop,25.8421201823079,5.59287755162347,746.085286389213,6.52347482856282,0.475057780842396,7.15172796771395,939.955741347715,0
C167,A,Crop,28.6940294470765,5.81150950133638,745.257891261589,6.81477666046993,0.509529618789463,7.20789964360065,934.498884076802,0
C168,A,Crop,33.5838919606429,5.81627011062716,754.081194211342,6.81197022630381,0.501812573498763,7.12464427621294,952.115907988658,0
