Group,Demand_scenario,Production_food,Production_livestock,Ric,C_stock,Production_timber,Production_energy,Harvesting,Aesthetic,Reg_id,Leisure,Hunting
Agric,current_demand,0.204659150302397,0.196147241096095,0.125139998506683,0.0483088180392743,0.088031061002016,0.0838497722690958,0.0241917419547525,0.068468603001568,0.0769805122078698,0.0500261330545808,0.0341969685656686
Econ,current_demand,0.0918338513704436,0.13040406894603,0.218140717716869,0.0771404351511727,0.0613167561458039,0.115569369878497,0.0395591975134219,0.074173495337666,0.0514269567674484,0.109776773099746,0.030658378072902
Forestry,current_demand,0.0828161185734136,0.0968967114404817,0.144140805928671,0.116739231125521,0.192496526169523,0.0991199629458082,0.0359796201945345,0.0680870773506253,0.0414080592867068,0.0392774432607689,0.0830384437239463
Hunting,current_demand,0.102272727272727,0.0880681818181818,0.139204545454545,0.0681818181818182,0.0965909090909091,0.0681818181818182,0.0426136363636364,0.0880681818181818,0.0625,0.0482954545454545,0.196022727272727
Landowner,current_demand,0,0.128205128205128,0.205128205128205,0.17948717948718,0.205128205128205,0.0256410256410256,0.0769230769230769,0.0512820512820513,0.0256410256410256,0,0.102564102564103
Loc_her_asso,current_demand,0.116554054054054,0.114864864864865,0.135135135135135,0.0810810810810811,0.101351351351351,0.0878378378378378,0.0202702702702703,0.10472972972973,0.0861486486486487,0.125,0.027027027027027
Locals,current_demand,0.108175374679787,0.155316668203082,0.169620133187742,0.086355462476191,0.0826383325694536,0.0593574840526571,0.0456347191800476,0.129999896129661,0.0688977799013492,0.0664400129318572,0.0275641366881722
Nat_cons_asso,current_demand,0.0814429155820007,0.11491260691707,0.237634808478988,0.117143919672741,0.0684269245072518,0.0661956117515805,0.0427668278170324,0.100037188545928,0.0751208627742655,0.070658237262923,0.0256600966902194
Policy_admin,current_demand,0.0988284221737587,0.109053101384592,0.143470101942486,0.108576355429325,0.0959679464421565,0.0845767611705635,0.0402799614545823,0.102622102753969,0.0803671958208652,0.0959780899731197,0.0402799614545823
Press,current_demand,0.0945945945945946,0.121621621621622,0.148648648648649,0.0945945945945946,0.108108108108108,0.108108108108108,0.027027027027027,0.108108108108108,0.0810810810810811,0.0945945945945946,0.0135135135135135
Quarrying,current_demand,0.15,0.15,0.15,0.1,0.1,0.1,0,0.1,0.05,0.1,0
Reg_dev_prog,current_demand,0.103136639583955,0.138102770313622,0.204193902896093,0.147989336314761,0.072445723409076,0.0630186529792041,0.0398511827246605,0.0878017689520748,0.0703917570305999,0.0394128620645115,0.0336554037314428
Research,current_demand,0.0648396919219058,0.14687444026509,0.197922264015762,0.133261687264911,0.0752283718430951,0.0954683861723088,0.0515851692638366,0.091886082751209,0.0544510120007165,0.0646605767508508,0.0238223177503135
Tourism,current_demand,0.0589311039785027,0.0874076285735612,0.160446368589983,0.0824065089199075,0.0569530491901172,0.0817720385160857,0.0455325819213257,0.136970963648578,0.124206911995223,0.143241024109875,0.0221318205568411
