scenario,region,mean_MF,mean_MF_diff,sd_MF,mean_harmony,sd_harmony,harmony_baseline,mean_harmony_diff
1,A,0.174708853673808,-0.0131053013209899,0.0108429650833033,36.7899990118987,1.15908657423454,36.0516932746061,0.738305737292627
1,H,0.226294131197249,0.031341381885318,0.00910699178152618,36.7615037621796,1.16512412581309,34.3893945296579,2.37210923252171
1,S,0.26586646482854,-0.0247831307905154,0.0127400473341979,30.3747539564947,1.31448068769973,28.1519439535314,2.22281000296328
2,A,0.169241740751317,-0.018572414243481,0.00214152388103997,36.4265921327964,0.0884541515054768,36.0516932746061,0.374898858190328
2,H,0.168783053340045,-0.0261696959718867,0.00254620775450748,35.6489377290255,0.073898460105625,34.3893945296579,1.25954319936756
2,S,0.278411423207317,-0.0122381724117377,0.00628618183694235,29.6257315373197,0.47254751565717,28.1519439535314,1.47378758378831
3,A,0.183098648827195,-0.00471550616760336,0.0184557536411996,36.8143549053231,2.39980537011138,36.0516932746061,0.762661630717041
3,H,0.229116418334536,0.0341636690226049,0.0232602180627671,35.951585620395,2.84855459529669,34.3893945296579,1.56219109073707
3,S,0.271632832871217,-0.0190167627478376,0.01871955635902,30.0931594726623,1.90436673321918,28.1519439535314,1.9412155191309
4,A,0.187923208730826,0.000109053736028268,0.0199253134489461,36.1562652699274,2.36920867995051,36.0516932746061,0.104571995321315
4,H,0.227370987643223,0.0324182383312917,0.0297171163066093,34.8130090852315,3.30241226083624,34.3893945296579,0.4236145555736
4,S,0.273891454795399,-0.0167581408236558,0.0197213502241467,29.9074657111761,1.96251531027907,28.1519439535314,1.75552175764472
5,A,0.191089970995397,0.00327581600059922,0.0188613232715221,35.6683043699396,2.13319812641416,36.0516932746061,-0.383388904666482
5,H,0.222878879574985,0.0279261302630536,0.0302685056770121,34.0283567585065,2.94661818973256,34.3893945296579,-0.361037771151374
5,S,0.277335906220374,-0.0133136893986808,0.019764590998136,29.5407070302592,1.91361890101202,28.1519439535314,1.38876307672783
6,A,0.191880324584023,0.00406616958922491,0.018713251719613,35.5050494167233,1.99191809838898,36.0516932746061,-0.546643857882792
6,H,0.216406085666779,0.0214533363548475,0.0289671198657755,33.5574094198298,2.335223663721,34.3893945296579,-0.831985109828061
6,S,0.279413535438305,-0.01123606018075,0.0193400600290833,29.4906356171624,1.75691142076729,28.1519439535314,1.33869166363102
7,A,0.191045015004518,0.00323086000971975,0.0174758587687619,35.5210664743113,1.81836701081905,36.0516932746061,-0.530626800294783
7,H,0.207993969976867,0.0130412206649361,0.0268424174004908,33.7373591685726,2.03358925778186,34.3893945296579,-0.652035361085318
7,S,0.281811314766681,-0.00883828085237412,0.0186761824418409,29.3062963746607,1.67113362313633,28.1519439535314,1.1543524211293
8,A,0.18707734064402,-0.000736814350777544,0.0148586918839214,35.7836332735626,1.44392736338246,36.0516932746061,-0.268060001043459
8,H,0.195468111793959,0.000515362482028058,0.0214555397039525,34.2834640579829,1.66278210809474,34.3893945296579,-0.105930471675023
8,S,0.282898796201349,-0.00775079941770644,0.0176351495243298,29.319716027096,1.48382258142603,28.1519439535314,1.16777207356461
9,A,0.180740707396475,-0.00707344759832287,0.0115272382504388,36.1812974332087,1.12621823619756,36.0516932746061,0.129604158602604
