Plot;Plotn;Explo;Biomass2008;Biomass2010;Biomass2011;Biomass2012;Biomass2013;Biomass2014;Biomass2015;Biomass2016;Biomass2017;SoilOrganicC;Pmic.2011;Pmic.2014;NaHCO3_Pi;OlsenPi2014;Nshoot.2009;Pshoot.2009;Nshoot.2010;Pshoot.2010;Nshoot.2011;Pshoot.2011;Nshoot.2012;Pshoot.2012;Nshoot.2013;Pshoot.2013;Nshoot.2014;Pshoot.2014;Potential.nitrification2011;Nmic.2014;Nmic.2011;NH4.2014;NO3.2014;Potential.nitrification2014;Bulk.density2011;Soil.C.stock;Bulk.density2014;N_leaching_risk2015;Root.decomposition;herbivory.20172018;P_loss2011;P_leaching_risk2015;Urease;beta_Glucosidase;Xylosidase;N_Acetyl_beta_Glucosaminidase;Phosphatase;DEA;Aggregation;mAMFhyphae;Groundwater.recharge2010;Groundwater.recharge2011;Groundwater.recharge2012;Groundwater.recharge2013;Groundwater.recharge2014;Groundwater.recharge2015;Groundwater.recharge2016;amoA_AOA.2016;amoA_AOB.2016;nxrA_NS;16S_NB;amoA_AOA.2011;amoA_AOB.2011;nifH;soil.depth;PH;Biomass2009;Biomass;Root.biomass;Groundwater.recharge;herbivory.2013;Litter.decomposition;Parasitoid.traps;Total.pollinators;PRI;NRI;pathogen.infection;dung.decomposition;soilCflxs;soilNflxs
AEG11;AEG11;ALB;870;299;169;382.2;367;325.55;267.2;206.5;181.15;62.61;52.6205132338941;55.2013224256334;2.5593395252838;5.1827242524917;2.033;0.292;1.793;0.211;2.343;0.252;1.96;0.253;2.292;0.271;1.83;0.26;113.47;88.8767877622554;96.3743074821205;0;0.0123111224193913;0;0.7;4.3142538633;0.836118931249806;1845.028922421;21.13333333;0.0519975540398443;103.049044270174;189.491888216783;123.50516887379;1086.65388798112;252.392674407121;303.779098493537;2764.53760635268;1.54401832592196;54.8344324644963;17.0612685;840.720044498393;535.318563010808;676.148222666591;867.938160336508;633.762510958681;245.662949339916;573.266507914544;59177572.045977;5124025.37931035;181165.609195402;25527802.1149425;5430000;1670000;12500000;31;5.49;345.5;282.566666666667;1.756;624.688136960777;1.08295218381316;0.533337069528563;NA;NA;0.995168596592638;0.999998293475531;NA;-0.0323099374906112;-0.416710637095668;-0.395298918571514
AEG12;AEG12;ALB;870;531;228;208;480.2;667.15;290.15;237.5;123.1;67.54;8.52444870293063;32.9154363318386;41.6600790513834;63.3511705685619;2.287;0.321;2.263;0.268;2.306;0.258;2.19;0.289;2.079;0.25;1.35;0.2;1468.92;130.045934579348;100.265736592728;0;0.0145505080416928;350.06508797943;0.85;5.6497647404;0.855152521603882;1661.25850619887;22.25;0.00915988430624879;21.6307135196111;70.834748798525;212.321788178317;1887.3926178704;291.433224719846;451.652045601154;1232.72730373738;1.52111695102856;NA;NA;767.513523180907;558.819559709739;615.520951083186;800.36522827846;522.053256691462;220.268432889287;521.392310812104;280925092.858639;8276836.52356021;84193.1727748691;4563431.87434555;97400000;3140000;2500000;12;6.565;308.5;341.511111111111;1.842;572.276180377878;1.22343125253279;0.676885860865597;13;314;0.961757696052296;0.999998635309331;NA;-0.411659862232802;0.260368198444111;-0.106158321152329
AEG13;AEG13;ALB;830;322;297;354.4;479.5;723.75;323.35;178.5;289.7;68.43;39.1859169004881;NA;25.4812329628853;27.1694352159468;2.189;0.314;2.163;0.248;1.999;0.272;1.698;0.27;2.587;0.291;1.66;0.23;904.54;139.16654693216;91.0882381907765;0;0;248.979938090976;0.75;5.1026569939;0.853666240243629;1150.72723084678;22.2;0.0055683694800709;81.2057616064145;124.498789399994;203.740095359619;1628.45048718641;265.627169842992;353.380766619453;1805.39508615564;1.60927162283427;72.0447112101499;15.258045;686.367232254742;473.019387559661;544.885686950584;747.199746573999;529.577315957846;238.987445941956;520.127050172517;3770622.72636816;104437.810945274;26318.328358209;52548093.4527363;12800000;530000;3760000;45;5.95;401;374.355555555556;4.43;534.309123630186;1.21340188816094;0.678738959853244;7;105;NA;1;NA;-0.614040811277967;-0.0663407502186168;-0.218104090644785
AEG14;AEG14;ALB;965;198;210;289;298.2;207.55;250.9;147;138.75;61.27;44.7802174280331;NA;30.291465716083;26.6688963210702;2.576;0.306;2.499;0.225;2.145;0.225;2.346;0.276;1.959;0.263;2.12;0.29;973.54;114.699368449859;112.017910039356;0;0.0122129822838336;144.21969608919;0.61;3.6924248732;0.97503769108366;1700.06976571314;22.1;0.0272263142597726;51.951204155255;170.791463912769;160.900856845116;1974.84739537092;325.910662590213;451.70645509618;958.029621745595;1.23778725582583;NA;NA;851.167069400353;523.737659375825;697.045224896268;890.608473605148;639.517265901247;251.733312172886;552.82612016699;735656026.619469;2032413.45132743;160613.946902655;20566197.2389381;219000000;1230000;11500000;47;6.71;222;217.933333333333;1.112;629.519303645531;0.703972659878697;0.689647215219982;NA;475;NA;0.999997360735693;NA;0.429457797987193;0.380246772410409;-0.154540681885259
AEG15;AEG15;ALB;1045;449;264;218.1;284;189.55;185;187;189.45;63.62;48.4287289858219;81.0988483584275;29.2470903285611;10.7242524916944;2.125;0.324;2.11;0.234;2.104;0.258;2.304;0.29;2.083;0.268;1.88;0.27;462.97;92.1994116458473;90.292962111371;0;0.0170602415987645;46.6566941556865;0.56;3.534994974;0.870128262545407;1934.06666666667;32.73333333;0.00231001145400492;93.9335644318246;133.833250935741;183.755907908862;1336.85393115476;253.756250842042;274.233223750041;2027.64317443391;1.70449676458647;NA;NA;911.723870700176;606.371065211212;745.295431546654;935.185966303564;671.811055878374;290.910390162438;643.447521085576;809143590.187845;18363058.2099448;250795.138121547;107390478.143646;169000000;194000;19100000;12;5.675;320.5;254.066666666667;3.166;686.392185841142;1.39046229199512;0.617422940275938;NA;200;0.98422892468457;0.999995926044455;NA;-0.614277595977857;-0.346041963611023;-0.0101051215811348
AEG16;AEG16;ALB;745;NA;101;282;284.4;202.05;80.3;139;149.9;59.98;NA;51.1935610355569;29.4324045407637;25.5348837209302;2.298;0.327;2.614;0.277;1.979;0.24;2.087;0.276;2.081;0.299;2.2;0.31;877.9;109.071917982314;121.7057507024;0;0.0178969802391136;210.556848466021;0.7;4.0853710338;0.976427529638005;1827.82101067429;22.63333333;0.010479206257529;70.4737027749623;183.219049595901;247.547654679424;1862.30450943009;339.425109214688;387.238405191443;1648.10690866438;1.56787469370071;71.2240101247514;18.37900875;769.737973482597;504.920907746985;640.460195227072;808.294016979972;549.069641958661;262.171162218329;575.706793133329;449751894.990291;24840549.9029126;343566.912621359;27376470.9902913;215000000;1960000;20600000;23;6.605;401.5;NA;0.646;587.194384392421;1.26233516300533;0.692124412636883;NA;362;0.964446227572486;0.999996160683287;NA;0.548520481266771;0.262747150992568;0.0155314449913476
AEG17;AEG17;ALB;455;88;61;196.9;274;175.25;141.7;163.5;114.4;64.68;41.2491656441163;49.5766491574494;16.4779742597049;11.8585858585859;1.981;0.247;2.104;0.169;2.11;0.177;1.78;0.223;2.223;0.289;2.01;0.29;614.99;123.06510641097;121.383404602408;0.131136669139167;0;146.193631233116;0.76;4.8581413475;0.892650568061137;1978.16672395787;24.93333333;0.0112023833594061;99.4046568508188;170.985023509518;143.629440872795;1170.59797620104;206.550861815617;436.636744931872;912.640769965156;1.011008275448;59.6824686940966;15.9515925;950.319761471252;574.669939746941;715.188492884177;929.517569868451;756.937757310413;280.217884884671;584.21445307022;91089341.2173913;1868386.58385093;48439.6521739131;12849940.6708075;34300000;828000;2560000;37;6.86;164;153.194444444444;0.366;684.437979890875;0.532258591741608;0.669691225449904;NA;430;0.98120009289995;0.99996777444053;NA;0.182839297150659;-0.283129745061741;-0.407007889737164
AEG18;AEG18;ALB;1100;270;175;336.5;493.3;592.95;348.25;167;167.15;62.14;41.4951957768409;32.8267082902092;24.9115831327823;50.7;2.361;0.338;2.433;0.23;2.31;0.28;1.849;0.276;2.239;0.306;1.33;0.21;1201.19;148.375913538568;122.68149174658;0;0.0089085252072896;360.039211760845;0.66;4.054754796;0.898721014955245;1388.91666666667;16.83333333;NA;20.1165920831996;53.846990320715;192.770780861111;1666.83254110277;298.426447792769;349.280693322281;825.041459423013;1.60398458103514;80.0505727749895;16.15965675;909.614544317097;569.269631059361;710.302681575961;903.474972945331;691.307143915979;294.456410903711;553.295578678015;2273907.61290323;614895.483870968;21621.8150537634;1888894.62365591;108000000;3480000;2360000;27;6.87;253;311.461111111111;0.156;661.674423342208;1.39309916563404;0.687475119578715;3;451;0.96548779842338;0.999999001660027;NA;1.08574389172921;0.0212007831939589;-0.211594963274306
AEG19;AEG19;ALB;400;206;130;196.2;343.7;253.5;221.65;186;228.85;77.67;64.4448013478917;78.7798002735062;35.6685773840542;32.4;1.493;0.241;2.072;0.237;2.632;0.261;2.351;0.27;2.322;0.288;2.22;0.31;580.41;134.301991553344;142.447577076458;0;0.0303179653831692;81.5475303096795;0.67;5.0341058327;0.851913680490717;1587.19508889958;19.5;0.00967883024090403;60.2069479870156;170.864400255717;261.89576415216;2372.14265377642;406.299136798004;460.996406180639;2838.06318016659;2.19371657400969;NA;NA;695.682421610703;454.468659613458;597.737532810163;728.012440289343;458.761508368159;223.219311998031;524.195997429921;4147798016;36704256;1381990.4;80688742.4;528000000;2590000;34300000;15;5.85;391.5;239.711111111111;0.886;526.01112458854;1.03104212804583;0.686386121175743;20;NA;0.968654233742371;0.999995501974599;NA;1.13788270198594;0.760758738839476;0.892217129482843
AEG20;AEG20;ALB;475;259;136;286.7;160.3;209.65;331.25;165;147.5;80.41;45.8105867893789;46.250097690125;21.624895572264;20.0531561461794;1.714;0.271;2.1415;0.2205;1.845;0.261;1.541;0.255;2.087;0.299;1.86;0.29;1364.52;201.354753979824;183.582858009051;0;0.0246790563982728;482.270616915735;0.59;4.7357146493;0.676669139069432;1940.6;22.334;0.0166128947229929;89.50373657421;183.807998836471;237.399049061892;1454.89906743951;283.425232297217;454.739256577552;1287.32095295649;3.37846550182398;64.6938775510204;17.40804225;833.27000456412;610.559797443679;697.876468667044;832.009625934132;622.425699672782;238.068404257216;583.551316946752;3494419357.19298;27679001.4502924;609351.859649123;142956603.883041;480000000;699000;40500000;14;6.62;313.5;223.211111111111;0.476;631.108759640818;1.34005932406721;0.658662434303576;3;172;0.979215218956492;0.999995862101008;NA;-0.244271295909403;0.051789762743868;0.987729820356029
AEG21;AEG21;ALB;710;234;114;386.5;405.2;388.8;309.75;196.5;187.85;67.42;69.4884245458529;95.7848427498077;26.9113021597819;16.0535117056856;2.181;0.331;2.434;0.232;2.527;0.278;1.909;0.315;2.163;0.302;2.28;0.31;627.43;155.915055851762;104.102144394627;0;0.0320246252887958;219.268088499928;0.8;5.3214411304;0.872591975226723;1547.71666666667;20.36666667;0.0129332343673404;96.516303066389;148.280435713799;267.679232455106;1670.45823025056;385.612200759134;571.002957124593;2077.30631105863;2.55880103604616;58.5291039659341;20.251587;757.005943126605;499.068163918069;589.965203296782;804.014173290543;568.282205703107;233.979976694396;559.590772831253;1764816590.97872;85615594.212766;2719874.72340426;89506772.4255319;72500000;3790000;16900000;15;5.99;346.5;285.455555555556;0.516;573.129491265822;1.23723623997695;0.626199247395569;NA;NA;0.989248218513163;0.999996895310962;NA;-0.110942928274847;0.564653520067155;0.730139960570062
AEG22;AEG22;ALB;465;180;77;173.4;230.1;301.55;116.1;108;109.1;53.56;38.9294403892944;47.3108690305637;3.70377999794006;4.16161616161616;1.7;0.177;2.155;0.126;2.04;0.151;1.808;0.171;1.759;0.187;1.37;0.18;0;65.8246370182605;73.140488580102;0;0;9.41670607101961;0.7;3.7096316271;0.893912035009048;1960.06666666667;25.5;0.00366734365694951;105.316246073348;174.837045584485;62.1074890002;766.719876506452;132.16710713171;419.00394942307;1287.08460043192;0.332541853409473;72.8130093922223;16.090302;1007.25569766841;619.912968025049;765.365326714637;1009.60174863419;803.724678547238;336.243769435811;597.757506648534;19170711.3978495;1105190.53763441;33374.9677419355;10278028.3870968;1890000;120000;1220000;16;5.88;222;168.583333333333;0.71;734.265956524838;2.21859949558749;0.49195735323819;3;572;0.993681883607506;1;NA;0.939428869471713;-0.665326245905115;-0.67911959163557
AEG23;AEG23;ALB;520;234;179;233.4;419.6;333.6;270.1;212.5;209.25;80.28;54.8104868006781;47.4808753194725;5.87368421052632;12.8940397350993;1.935;0.257;2.204;0.266;2.081;0.249;2.005;0.265;2.374;0.273;2.22;0.29;1538.42;166.44106153739;184.676536497169;0;0.0247826862128684;627.094809101736;0.64;4.9817681493;0.765460576615882;1946.29794537653;37.889;0.00833603940287368;104.033241225741;187.067694272868;255.250921623857;1547.00225316045;303.880099013802;447.936757893678;964.406156736363;4.56947031222582;71.0200830153872;13.7322405;1044.71510026728;641.903436200445;768.359194113807;1009.08112904526;740.636486629096;254.491316446342;602.783572227765;517703315.911111;2977996.8;120399.644444444;23812187.0222222;153000000;270000;35800000;57;6.77;267;262.05;0.986;723.138604989999;0.465123951518174;0.652735232966232;NA;NA;0.990263074895356;0.999997481839181;NA;0.113281716959129;0.130576769952533;0.443951788648671
AEG24;AEG24;ALB;850;264;342;440.9;344.6;371.35;231.65;171.5;262.7;80.23;23.2282592817548;46.9246270632216;22.7115789473684;40.7441860465116;2.453;0.363;2.604;0.281;2.94;0.324;2.442;0.323;2.245;0.341;2.28;0.34;1121.87;123.660875220314;148.517247854532;0;0.0161544052378627;235.741269149797;0.61;4.8808564801;0.889597590106622;1797.85070458619;24.8;0.008717455943006;39.0869400814337;141.12304167665;311.181418707279;2360.34346961902;445.78575773961;752.384309226094;3257.35502311405;1.59632726741019;67.5377953354098;24.8290005;876.811707813543;541.796744188514;668.0726061255;852.053896240195;631.221180067496;254.252057131961;518.188330849727;77681722.6666667;37273506.6666667;644600;48351250.6666667;25200000;3080000;6260000;28;6.08;225.5;294.911111111111;0.486;620.342360345277;0.358987919839656;0.649868267578612;NA;339;0.972962500807366;0.999998324443231;NA;0.879871181442994;1.29230196844358;0.0744211415955788
AEG25;AEG25;ALB;170;175;14;79.1;60.9;100.35;40.55;31;27.9;82.13;47.5825855651228;40.5980476741095;0.65;4.26845637583893;1.999;0.107;1.868;0.022;2.091;0.12;1.899;0.123;2.295;0.133;1.82;0.22;423.26;116.58063814633;181.410152451633;0.249472997101694;0;345.133152194068;0.47;3.7638270126;0.699632065716373;1974.91640032431;18.73333333;0.00353618879088308;106.769670926581;191.091450386847;131.64613122138;899.881799864547;122.187692531953;NA;1638.55421017434;0.410678113746431;46.3469296279695;19.21126575;797.130680537372;546.805073528448;628.123178966472;814.182848595366;582.906544574229;247.288945351907;531.536447768191;0;58979.6407185629;22892.8383233533;29656710.8982036;1050000;31700;902000;41;6.965;126;72.7555555555556;0.29;592.567674188855;1.47358258868582;0.550705292936942;26;276;0.988156930441875;0.999908527557199;NA;-0.529795832512367;-0.890244362748131;-0.502113307048753
AEG26;AEG26;ALB;170;71;14;43.7;172.4;216.45;55.2;46;92.55;69.42;NA;43.4620466636531;0.384655154585875;3.19063545150502;1.471;0.094;1.873;0.094;1.98;0.117;1.586;0.113;1.905;0.155;1.61;0.2;205.77;93.0073552558888;66.5939170765142;0.201194353565313;0;41.5299047417151;0.48;3.2456535655;0.799000257166039;2008.3;NA;0.012652278618752;96.327309899765;189.709272811303;119.608418336114;624.853046885351;99.5006240422735;303.858806753762;914.243262790776;0.421024108627692;87.7093775435891;14.2870785;673.377488424405;436.141398756271;569.102338952892;731.749420704786;442.13362567973;220.518262548969;490.885753943953;444603.834319527;0;27090.5562130178;14282300.591716;783000;208000;1200000;17;6.66;81.5;88.0888888888889;0.776;509.129755573001;0.933424837067054;0.544525077147673;67;470;0.994577942663698;0.999954835642488;NA;0.570347944554663;-0.981115960160705;-0.584514474305861
AEG27;AEG27;ALB;205;87;20;52.2;137.1;142.45;71.95;43;114;89.47;45.5593756817364;84.0887312115871;4.43789473684211;3.29292929292929;1.587;0.148;1.544;0.096;1.672;0.125;1.624;0.155;1.869;0.157;1.6;0.19;442.95;111.374165148753;83.3481250549548;0;0;80.4496316013038;0.33;2.8415941623;0.64967102605277;1738.28654380899;39.56;0.026515910981731;106.064879818577;186.78127166427;118.976646779673;1402.03227404976;232.878300188909;555.33082462108;2067.96357496727;0.580644405899726;67.5333030578262;29.05964025;1050.61714453618;641.428092725885;797.259721384542;991.561077013184;691.50994626869;307.305532974867;672.218846303238;153006796.8;1425056.91428571;84200.0091428571;107113012.662857;10800000;148000;5000000;13;6.145;159.5;91.9111111111111;1.186;735.985765886655;0.97837014228708;0.591256709529977;19;656;0.993466213300014;1;NA;1.99358319755156;0.0635878248311331;-0.411167566658447
AEG28;AEG28;ALB;305;131;35;126;204.9;177.05;61.85;94.5;68.2;54.04;65.4009948733567;32.0741658237328;3.48931735278791;4.91638795986622;1.774;0.188;2.049;0.161;1.892;0.169;1.77;0.207;2.075;0.211;1.79;0.25;95.84;93.1279054700779;87.4577976496726;0.13329847255657;0;31.8939772103326;0.66;3.4336741526;0.956742042289081;1977.49195491237;NA;0.00392049815451221;103.179395573462;163.965039830164;88.2453437260859;1003.80293134467;181.023513366624;316.76274611601;1144.64015630009;0.484718845250003;81.5556711758585;13.593531;925.340807469627;572.06300732532;724.509149939663;917.618194489694;665.650040709733;266.021841952112;615.241425673049;92510583.4666666;998243.555555555;98668.0888888889;11697564.4444444;111000000;360000;7490000;20;6.075;180.5;119.888888888889;0.616;669.492066794171;0.937187312097504;0.654625489029407;NA;203;0.990159909323929;0.999960860730683;NA;1.03337811212067;-0.600696123867696;-0.570722896419616
