Species;from25;from30;from35;from40;from50;from60;Industrial
Fagus_sylvatica;77;79;104;104;104;110;40
Other_hardwood  ;77;79;104;104;104;110;40
Picea_abies;82;95;95;95;100;100;40
Abies_alba;85;95;95;95;100;100;40
Quercus_sp;165;165;260;260;260;260;40
Pinus_sylvestris ;70;70;70;70;70;70;40
Other_softwood;55;55;70;85;98;110;40
Larix_decidua;90;90;90;100;100;100;40
