Species;Cultural_overall;Justification for cultural importance importance
Fraxinus excelsior;y;myths
Fumaria officinalis;;
Gagea lutea;;
Gagea pratensis;;
Galeopsis bifida;;
Galeopsis pubescens;;
Galeopsis sp;;
Galeopsis tetrahit;;
Galinsoga parviflora;;
Galium aparine;;
Galium mollugo agg;;
Galium mollugo aggr.;;
Galium odoratum;y;myths
Galium pumilum;;
Galium rotundifolium;;
Galium saxatile;;
Galium sylvaticum;;
Galium verum;;
Genista tinctoria;;
Gentiana verna;y;poems, iconography, songs
Gentianella germanica;y;poems, iconography, songs
Geranium columbinum;;
Geranium dissectum;;
Geranium molle;;
Geranium pratense;;
Geranium pusillum;;
Geranium pyrenaicum;;
Geranium robertianum;;
Geranium sylvaticum;;
Geum rivale;;
Geum urbanum;y;myths, against demons
Glechoma hederacea;;
Glyceria fluitans;;
Gymnocarpium dryopteris;;
Hedera helix;y;myths
Helianthemum nummularium;;
Helictotrichon pratense;;
Helictotrichon pubescens;;
Helleborus foetidus;;
Hepatica nobilis;y;poems etc
Heracleum sphondylium;;
Hieracium murorum;;
Hieracium pilosella;;
Hippocrepis comosa;;
Holcus lanatus;;
Holcus mollis;;
Hordelymus europaeus;;
Hordeum vulgare;y;"one of the most important plants in germany: beer ;) ""hopfen und malz, gott erhalts"""
Hordeum vulgare aggr.;y;"one of the most important plants in germany: beer ;) ""hopfen und malz, gott erhalts"""
Hypericum hirsutum;;
Hypericum maculatum;;
Hypericum montanum;;
Hypericum perforatum;;
Hypochaeris radicata;;
Impatiens glandulifera;;
Impatiens noli-tangere;;
Impatiens parviflora;;
Juncus articulatus;;
Juncus conglomeratus;;
Juncus effusus;;
Juncus inflexus;;
Juniperus communis;y;myths
Knautia arvensis;;
Koeleria macrantha;;
Koeleria pyramidata;;
Lactuca serriola;;
Lamium album;;
Lamium amplexicaule;;
Lamium galeobdolon agg;;
Lamium maculatum;;
Lamium purpureum;;
Lapsana communis;;
Larix decidua;y;"myths; e.g. branches on the doors against witches"
Lathraea squamaria;;
Lathyrus linifolius;;
Lathyrus nissolia;;
Lathyrus pratensis;;
Lathyrus tuberosus;;
Lathyrus vernus;;
Leontodon autumnalis;;
Leontodon hispidus;;
Lepidium campestre;;
Leucanthemum vulgare agg;y;well known
Leucanthemum vulgare aggr.;y;cultural uses, myths, poems
Leucojum vernum;y;iconography
Ligustrum vulgare;;
Lilium martagon;;
Linaria vulgaris;;
Linum catharticum;;
Listera ovata;;
Lolium multiflorum;;
Lolium perenne;;
Lonicera xylosteum;;
Lotus corniculatus;;
Luzula campestris;;
Luzula luzuloides;;
Luzula multiflora;;
Luzula pilosa;;
Luzula sp;;
Luzula sylvatica;;
Lycopodium sp;;
Lysimachia nemorum;;
Lysimachia nummularia;;
Lysimachia vulgaris;;
Maianthemum bifolium;;
Malus sp;y;in general apples are occurring in many fairy tales, even the in bible (which would be less important in the eastern german study regions, but apples appear also there often)
Malva sylvestris;;
Matricaria discoidea;;
Matricaria recutita;;
Medicago lupulina;;
Medicago sativa aggr.;;
Medicago x varia;;
Melampyrum pratense;;
Melica nutans;;
Melica uniflora;;
Melilotus altissimus;;
Mentha aquatica;;
Mentha arvensis;;
Mentha sp;;
Mercurialis perennis;;
Milium effusum;;
Moehringia trinervia;;
Molinia caerulea;;
Muscari neglectum aggr.;;
Mycelis muralis;;
Myosotis arvensis;y;myosotis spp. in many (old) songs and poems
Myosotis discolor;y;myosotis spp. in many (old) songs and poems
Myosotis ramosissima;y;myosotis spp. in many (old) songs and poems
Myosotis sylvatica;y;myosotis spp. in many (old) songs and poems
Myosurus minimus;;
Neottia nidus-avis;;
Odontites vernus aggr.;;
Oenothera biennis;;
Oenothera biennis agg;;
Onobrychis viciifolia;;
Ononis repens spinosa aggr.;;
Ophioglossum vulgatum;;
Orchidacea sp;;
Orchis militaris;;
Origanum vulgare;y;"myths; against witches"
Ornithopus perpusillus;;
Orobanche caryophyllacea;;
Oxalis acetosella;y;symbol (4 leaved clover)
Papaver argemone;;
Papaver dubium;;
Papaver rhoeas;y;"symbol; also in songs and poems"
Paris quadrifolia;y;iconography
Pastinaca sativa;;
Persicaria amphibia;;
Persicaria lapathifolia;;
Persicaria lapathifolium;;
Persicaria maculosa;;
Phalaris arundinacea;;
Phleum pratense;;
Phleum pratense aggr.;;
