Scenario_name;Scenario_type;Scenario_description;Forest_classification;Region: mixed;Region:coniferous;Region: deciduous;EA;UA;Region:low int;Region:med int;Region:high int;Region;Forest;Grassland;Crop;Forest_Mixed;Forest_Coniferous;Forest_Deciduous;Forest_even_aged;Forest_uneven_aged;Grassland_low;Grassland_medium;Grassland_high;check_sum_forest_type;check_sum_forest_age;;;
Back_to_nature;Constrained;All mixed forests and low-intensity grasslands (same crops);Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;41.66666667;20;38.66666667;41.66666667;0;0;0;0;20;0;0;100.3333333;41.66666667;;;
Productive_landscape;Constrained;Only coniferous forests and only high LUI grasslands;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;48;32;21;0;48;0;0;0;0;0;32;101;48;;;
Productive_landscape;Constrained;Only coniferous forests and only high LUI grasslands;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;27;13;60;0;27;0;0;0;0;0;13;100;27;;;
Productive_landscape;Constrained;Only coniferous forests and only high LUI grasslands;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;50;15;35;0;50;0;0;0;0;0;15;100;50;;;
Productive_landscape;Constrained;Only coniferous forests and only high LUI grasslands;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;41.66666667;20;38.66666667;0;41.66666667;0;0;0;0;0;20;100.3333333;41.66666667;;;
EvenAged_forests;Constrained;All forests are coniferous;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;48;32;21;0;48;0;0;0;13.12;10.88;8;101;48;;;
EvenAged_forests;Constrained;All forests are coniferous;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;27;13;60;0;27;0;0;0;3.38;4.55;5.07;100;27;;;
EvenAged_forests;Constrained;All forests are coniferous;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;50;15;35;0;50;0;0;0;6.15;4.2;4.65;100;50;;;
EvenAged_forests;Constrained;All forests are coniferous;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;41.66666667;20;38.66666667;0;41.66666667;0;0;0;7.55;6.543333333;5.906666667;100.3333333;41.66666667;;;
UnevenAged_forests;Constrained;All forests are deciduous;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;48;32;21;0;0;48;0;0;13.12;10.88;8;101;48;;;
UnevenAged_forests;Constrained;All forests are deciduous;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;27;13;60;0;0;27;0;0;3.38;4.55;5.07;100;27;;;
UnevenAged_forests;Constrained;All forests are deciduous;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;50;15;35;0;0;50;0;0;6.15;4.2;4.65;100;50;;;
UnevenAged_forests;Constrained;All forests are deciduous;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;41.66666667;20;38.66666667;0;0;41.66666667;0;0;7.55;6.543333333;5.906666667;100.3333333;41.66666667;;;
Equal_forests;Constrained;Same prop of each forest type;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;48;32;21;16;16;16;0;0;13.12;10.88;8;101;48;;;
Equal_forests;Constrained;Same prop of each forest type;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;27;13;60;9;9;9;0;0;3.38;4.55;5.07;100;27;;;
Equal_forests;Constrained;Same prop of each forest type;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;50;15;35;16.66666667;16.66666667;16.66666667;0;0;6.15;4.2;4.65;100;50;;;
Equal_forests;Constrained;Same prop of each forest type;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;41.66666667;20;38.66666667;13.88888889;13.88888889;13.88888889;0;0;7.55;6.543333333;5.906666667;100.3333333;41.66666667;;;
Mixed_forests;Constrained;All forests are mixed;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;48;32;21;48;0;0;0;0;13.12;10.88;8;101;48;;;
Mixed_forests;Constrained;All forests are mixed;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;27;13;60;27;0;0;0;0;3.38;4.55;5.07;100;27;;;
Mixed_forests;Constrained;All forests are mixed;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;50;15;35;50;0;0;0;0;6.15;4.2;4.65;100;50;;;
Mixed_forests;Constrained;All forests are mixed;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;41.66666667;20;38.66666667;41.66666667;0;0;0;0;7.55;6.543333333;5.906666667;100.3333333;41.66666667;;;
Crops_invade_grasslands;LU_change;All high LUI grasslands become crops;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;48;32;29;1.92;6.72;39.36;0;0;13.12;10.88;0;101;48;;;
Crops_invade_grasslands;LU_change;All high LUI grasslands become crops;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;27;13;65.07;1.08;2.43;23.49;0;0;3.38;4.55;0;100;27;;;
Crops_invade_grasslands;LU_change;All high LUI grasslands become crops;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;50;15;39.65;5;26;19;0;0;6.15;4.2;0;100;50;;;
Crops_invade_grasslands;LU_change;All high LUI grasslands become crops;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;41.66666667;20;44.57333333;2.666666667;11.71666667;27.28333333;0;0;7.55;6.543333333;0;100.3333333;41.66666667;;;
Abandonment;LU_change;half crops converted to grasslands.  more low grassland;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;48;32;10.5;1.92;6.72;39.36;0;0;23.62;10.88;8;101;48;;;
Abandonment;LU_change;half crops converted to grasslands.  more low grassland;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;27;13;30;1.08;2.43;23.49;0;0;33.38;4.55;5.07;100;27;;;
Abandonment;LU_change;half crops converted to grasslands.  more low grassland;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;50;15;17.5;5;26;19;0;0;23.65;4.2;4.65;100;50;;;
Abandonment;LU_change;half crops converted to grasslands.  more low grassland;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;41.66666667;20;19.33333333;2.666666667;11.71666667;27.28333333;0;0;26.88333333;6.543333333;5.906666667;100.3333333;41.66666667;;;
UAForests_invade_grasslands;Constrained;Low-lui and med-lui grasslands become coniferous forests;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;48;32;21;1.92;30.72;39.36;0;0;0;0;8;101;72;;;
UAForests_invade_grasslands;Constrained;Low-lui and med-lui grasslands become coniferous forests;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;27;13;60;1.08;10.36;23.49;0;0;0;0;5.07;100;34.93;;;
UAForests_invade_grasslands;Constrained;Low-lui and med-lui grasslands become coniferous forests;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;50;15;35;5;36.35;19;0;0;0;0;4.65;100;60.35;;;
UAForests_invade_grasslands;Constrained;Low-lui and med-lui grasslands become coniferous forests;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;All;41.66666667;20;38.66666667;2.666666667;25.81;27.28333333;0;0;0;0;5.906666667;100.3333333;55.76;;;
EAForests_invade_grasslands;Constrained;Low-lui and med-lui grasslands become mixed forests;Type;0.04;0.14;0.82;56;44;0.41;0.34;0.25;A;48;32;21;25.92;6.72;39.36;0;0;0;0;8;101;72;;;
EAForests_invade_grasslands;Constrained;Low-lui and med-lui grasslands become mixed forests;Type;0.04;0.09;0.87;57;43;0.26;0.35;0.39;H;27;13;60;9.01;2.43;23.49;0;0;0;0;5.07;100;34.93;;;
EAForests_invade_grasslands;Constrained;Low-lui and med-lui grasslands become mixed forests;Type;0.1;0.52;0.38;89;11;0.41;0.28;0.31;S;50;15;35;15.35;26;19;0;0;0;0;4.65;100;60.35;;;
EAForests_invade_grasslands;Constrained;Low-lui and med-lui grasslands become mixed forests;Type;0.06;0.25;0.69;67.33333333;32.66666667;0.36;0.323333333;0.316666667;;41.66666667;20;38.66666667;16.76;11.71666667;27.28333333;0;0;0;0;5.906666667;100.3333333;55.76;;;
